segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,suspicious_reasons
lap2_problem_section_v1,105.000000,112.500000,3133,0,1780899115.480012178,105.004464626,115.089588,62.421281,16,235,579,6,2,4,-0.800000000,0.680000000,75,578,503,326,6,BOTH,BOTH,STRAIGHT,0,6,,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3134,1,1780899115.516027689,105.040480137,113.808026,62.259457,16,236,596,7,3,4,-0.780952381,0.692307692,71,579,508,325,5,BOTH,BOTH,STRAIGHT,0,1,5,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3135,2,1780899115.547625065,105.072077513,112.391776,62.104636,16,235,593,5,2,3,-0.755319149,0.604651163,69,606,537,337,17,BOTH,BOTH,STRAIGHT,0,12,29,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3136,3,1780899115.579691887,105.104144335,110.713253,62.223411,16,236,608,6,2,4,-0.779220779,0.677419355,67,581,514,324,4,BOTH,BOTH,STRAIGHT,0,13,23,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3137,4,1780899115.615861654,105.140314102,109.208182,62.491059,16,235,608,5,2,3,-0.783018868,0.641791045,67,605,538,336,16,BOTH,BOTH,STRAIGHT,0,12,24,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3138,5,1780899115.647025585,105.171478033,107.908182,63.115663,16,236,619,6,2,4,-0.780701754,0.641025641,68,603,535,335,15,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3139,6,1780899115.683083534,105.207535982,106.446776,63.779858,16,236,625,6,2,4,-0.782178218,0.630136986,67,605,538,336,16,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3140,7,1780899115.715085983,105.239538431,105.407273,64.162636,16,236,660,5,2,3,-0.782178218,0.702702703,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,14,25,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3141,8,1780899115.747891903,105.272344351,104.572003,64.261868,16,235,668,8,3,5,-0.800000000,0.710526316,68,578,510,323,3,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3142,9,1780899115.783994675,105.308447123,103.312330,64.562202,16,236,706,7,3,4,-0.781250000,0.711111111,65,579,514,322,2,BOTH,BOTH,STRAIGHT,0,1,4,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3143,10,1780899115.816855431,105.341307878,102.298878,64.593305,16,236,702,9,2,7,-0.780701754,0.641025641,65,603,538,334,14,BOTH,BOTH,STRAIGHT,0,12,24,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3144,11,1780899115.851276875,105.375729322,101.532912,64.519127,16,236,786,5,2,3,-0.783333333,0.702479339,64,580,516,322,2,BOTH,BOTH,STRAIGHT,0,12,22,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3145,12,1780899115.883847475,105.408299923,100.804815,64.674577,16,236,761,6,2,4,-0.796610169,0.720000000,64,580,516,322,2,BOTH,BOTH,STRAIGHT,0,0,0,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3146,13,1780899115.918930769,105.443383217,100.522543,65.397084,16,235,722,6,2,4,-0.785046729,0.722222222,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,0,3,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3147,14,1780899115.953891039,105.478343487,99.827017,65.644814,16,236,793,7,3,4,-0.800000000,0.700854701,67,580,513,323,3,BOTH,BOTH,STRAIGHT,0,1,0,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3148,15,1780899115.986154795,105.510607243,98.707912,65.640939,16,236,915,10,3,4,-0.800000000,0.700854701,67,580,513,323,3,BOTH,BOTH,STRAIGHT,0,0,0,0,0,0,0,90,,
lap2_problem_section_v1,105.000000,112.500000,3149,16,1780899116.017976999,105.542429447,97.460568,65.507324,16,236,942,11,3,4,-0.789473684,0.671875000,66,582,516,324,4,BOTH,BOTH,STRAIGHT,0,1,3,0,0,0,0,90,,
