segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,418,0,1780899024.486595154,14.011047602,112.155000,51.664753,16,236,868,8,2,4,-1.000000000,0.418181818,30,423,393,226,-94,BOTH,STRAIGHT,0,94,,center_jump
lap1_problem_section_v0_1,14.000000,80.000000,419,1,1780899024.516566038,14.041018486,112.043111,51.414695,16,235,1092,11,3,5,-0.949152542,0.446808511,27,415,388,221,-99,BOTH,STRAIGHT,0,5,5,
lap1_problem_section_v0_1,14.000000,80.000000,420,2,1780899024.549727201,14.074179649,112.106903,51.389151,16,236,1089,16,3,7,-0.960000000,0.452830189,25,408,383,216,-104,BOTH,STRAIGHT,0,5,5,
lap1_problem_section_v0_1,14.000000,80.000000,421,3,1780899024.587260485,14.111712933,112.376790,51.733260,16,236,1122,12,3,7,-0.965517241,0.470588235,26,402,376,214,-106,BOTH,STRAIGHT,0,2,7,
lap1_problem_section_v0_1,14.000000,80.000000,422,4,1780899024.615929842,14.140382290,112.578892,52.161138,16,236,1063,9,3,6,-0.960000000,0.466666667,26,390,364,208,-112,BOTH,STRAIGHT,0,6,12,
lap1_problem_section_v0_1,14.000000,80.000000,423,5,1780899024.655637503,14.180089951,112.779616,52.381868,16,235,1012,8,2,5,-0.915254237,0.475000000,25,383,358,204,-116,BOTH,STRAIGHT,0,4,6,
lap1_problem_section_v0_1,14.000000,80.000000,424,6,1780899024.686266184,14.210718632,113.117599,52.569435,16,236,1019,10,3,7,-0.935897436,0.500000000,26,564,538,295,-25,BOTH,STRAIGHT,0,91,180,center_jump;lane_width_jump
lap1_problem_section_v0_1,14.000000,80.000000,425,7,1780899024.717600346,14.242052794,113.516875,52.627066,16,235,1038,6,2,4,-0.927710843,0.475409836,26,568,542,297,-23,BOTH,STRAIGHT,0,2,4,
lap1_problem_section_v0_1,14.000000,80.000000,426,8,1780899024.754693985,14.279146433,113.991420,52.723702,16,236,1026,6,2,4,-0.926829268,0.482758621,25,567,542,296,-24,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0_1,14.000000,80.000000,427,9,1780899024.785379648,14.309832096,114.728026,53.104132,16,236,963,6,2,4,-0.906666667,0.485714286,26,565,539,295,-25,BOTH,STRAIGHT,0,1,3,
lap1_problem_section_v0_1,14.000000,80.000000,428,10,1780899024.817679405,14.342131853,115.499276,53.055537,16,236,925,6,2,4,-0.911392405,0.487951807,26,565,539,295,-25,BOTH,STRAIGHT,0,0,0,
lap1_problem_section_v0_1,14.000000,80.000000,429,11,1780899024.854020834,14.378473282,115.718366,53.074211,16,236,852,6,2,4,-0.897727273,0.488372093,27,566,539,296,-24,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0_1,14.000000,80.000000,430,12,1780899024.885658979,14.410111427,116.038935,53.155585,16,235,584,6,4,2,-0.888888889,0.508196721,29,564,535,296,-24,BOTH,STRAIGHT,0,0,4,
lap1_problem_section_v0_1,14.000000,80.000000,431,13,1780899024.923285007,14.447737455,116.306278,53.232002,16,236,815,6,3,3,-0.897727273,0.508287293,30,563,533,296,-24,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_v0_1,14.000000,80.000000,432,14,1780899024.954689026,14.479141474,116.383565,53.210045,16,235,826,7,4,3,-0.888888889,0.468253968,31,592,561,311,-9,BOTH,STRAIGHT,0,15,28,
lap1_problem_section_v0_1,14.000000,80.000000,433,15,1780899024.985708237,14.510160685,116.140980,53.139147,16,236,850,7,3,4,-0.869565217,0.483146067,30,590,560,310,-10,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_v0_1,14.000000,80.000000,434,16,1780899025.021608114,14.546060562,115.898366,53.046494,16,236,843,6,3,3,-0.872340426,0.511904762,32,567,535,299,-21,BOTH,STRAIGHT,0,11,25,
lap1_problem_section_v0_1,14.000000,80.000000,435,17,1780899025.054200172,14.578652620,116.172557,53.009513,16,235,834,5,2,3,-0.875000000,0.525000000,33,566,533,299,-21,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_v0_1,14.000000,80.000000,436,18,1780899025.087039471,14.611491919,116.571435,53.084280,16,236,884,7,4,3,-0.849315068,0.531791908,34,568,534,301,-19,BOTH,STRAIGHT,0,2,1,
lap1_problem_section_v0_1,14.000000,80.000000,437,19,1780899025.122685671,14.647138119,116.850511,53.064129,16,236,894,8,5,3,-0.891891892,0.508620690,38,593,555,315,-5,BOTH,STRAIGHT,0,14,21,
lap1_problem_section_v0_1,14.000000,80.000000,438,20,1780899025.154124737,14.678577185,117.069787,52.921754,16,236,916,8,4,4,-0.840000000,0.529069767,38,568,530,303,-17,BOTH,STRAIGHT,0,12,25,
lap1_problem_section_v0_1,14.000000,80.000000,439,21,1780899025.191286325,14.715738773,117.122756,52.576128,16,236,885,7,4,3,-0.842857143,0.530864198,39,569,530,304,-16,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0_1,14.000000,80.000000,440,22,1780899025.224868059,14.749320507,117.155724,52.198086,16,236,901,7,3,4,-0.842857143,0.550898204,41,569,528,305,-15,BOTH,STRAIGHT,0,1,2,
