segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap2_problem_section_v0_1,105.440000,111.640000,3146,0,1780899115.918930769,105.443383217,100.522543,65.397084,16,235,1001,9,3,5,-0.763157895,0.698113208,65,580,515,322,2,BOTH,STRAIGHT,0,2,,
lap2_problem_section_v0_1,105.440000,111.640000,3147,1,1780899115.953891039,105.478343487,99.827017,65.644814,16,236,1154,12,3,7,-0.796296296,0.200000000,67,203,136,135,-185,BOTH,STRAIGHT,0,187,379,center_jump;lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3148,2,1780899115.986154795,105.510607243,98.707912,65.640939,16,236,1103,11,3,4,-0.767857143,0.721311475,64,579,515,321,1,BOTH,STRAIGHT,0,186,379,center_jump;lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3149,3,1780899116.017976999,105.542429447,97.460568,65.507324,16,236,1179,14,3,7,-0.766666667,0.634615385,64,605,541,334,14,BOTH,STRAIGHT,0,13,26,
lap2_problem_section_v0_1,105.440000,111.640000,3150,4,1780899116.052480698,105.576933146,96.034517,65.175543,16,236,1269,13,2,6,-0.786324786,0.678571429,65,580,515,322,2,BOTH,STRAIGHT,0,12,26,
lap2_problem_section_v0_1,105.440000,111.640000,3151,5,1780899116.085083008,105.609535456,94.428764,64.574778,16,236,1263,13,4,5,-0.789473684,0.650000000,64,601,537,332,12,BOTH,STRAIGHT,0,10,22,
lap2_problem_section_v0_1,105.440000,111.640000,3152,6,1780899116.121573925,105.646026373,92.481165,63.824269,16,236,1281,11,2,6,-0.803278689,0.648648649,63,602,539,332,12,BOTH,STRAIGHT,0,0,2,
lap2_problem_section_v0_1,105.440000,111.640000,3153,7,1780899116.152004957,105.676457405,90.491420,63.071476,16,236,1253,13,3,6,-0.763157895,0.700000000,61,580,519,320,0,BOTH,STRAIGHT,0,12,20,
lap2_problem_section_v0_1,105.440000,111.640000,3154,8,1780899116.183911800,105.708364248,88.583196,62.435776,16,235,1365,13,3,5,-0.777777778,0.100000000,63,471,408,267,-53,BOTH,STRAIGHT,0,53,111,lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3155,9,1780899116.223921537,105.748373985,86.517543,61.536038,16,236,1395,16,2,8,-0.791666667,0.681818182,62,580,518,321,1,BOTH,STRAIGHT,0,54,110,lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3156,10,1780899116.252811193,105.777263641,84.380739,60.520379,16,236,1521,15,5,4,-0.703703704,0.676190476,44,581,537,312,-8,BOTH,STRAIGHT,0,9,19,
lap2_problem_section_v0_1,105.440000,111.640000,3157,11,1780899116.283829927,105.808282375,82.222557,59.442467,16,235,1500,17,6,5,-1.150000000,0.680851064,240,583,343,411,91,BOTH,STRAIGHT,0,99,194,center_jump;lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3158,12,1780899116.319523573,105.843976021,79.980895,58.314638,16,235,1531,19,6,5,-0.800000000,0.636363636,62,586,524,324,4,BOTH,STRAIGHT,0,87,181,center_jump;lane_width_jump
lap2_problem_section_v0_1,105.440000,111.640000,3159,13,1780899116.352965832,105.877418280,78.143622,57.282205,16,235,1649,17,7,4,-0.790697674,0.648648649,61,583,522,322,2,BOTH,STRAIGHT,0,2,2,
lap2_problem_section_v0_1,105.440000,111.640000,3160,14,1780899116.387451649,105.911904097,76.133821,56.199483,16,235,1663,20,6,4,-0.702127660,0.651685393,42,583,541,312,-8,BOTH,STRAIGHT,0,10,19,
lap2_problem_section_v0_1,105.440000,111.640000,3161,15,1780899116.419361115,105.943813562,74.222045,55.163790,16,236,1683,20,7,5,-0.705882353,0.600000000,42,605,563,323,3,BOTH,STRAIGHT,0,11,22,
lap2_problem_section_v0_1,105.440000,111.640000,3162,16,1780899116.452617645,105.977070093,72.293011,53.940918,16,235,1700,18,5,6,-0.696428571,0.592592593,41,605,564,323,3,BOTH,STRAIGHT,0,0,1,
lap2_problem_section_v0_1,105.440000,111.640000,3163,17,1780899116.490041256,106.014493704,70.122074,52.705341,16,235,1488,15,7,6,-0.757575758,0.666666667,58,578,520,318,-2,BOTH,STRAIGHT,0,5,44,
lap2_problem_section_v0_1,105.440000,111.640000,3164,18,1780899116.522756815,106.047209263,67.974886,51.272481,16,235,1509,16,6,6,-0.734375000,0.657142857,43,578,535,310,-10,BOTH,STRAIGHT,0,8,15,
lap2_problem_section_v0_1,105.440000,111.640000,3165,19,1780899116.552119255,106.076571703,64.839048,50.010546,16,235,1443,16,7,5,-0.720588235,0.630434783,42,582,540,312,-8,BOTH,STRAIGHT,0,2,5,
lap2_problem_section_v0_1,105.440000,111.640000,3166,20,1780899116.588615894,106.113068342,62.543196,48.332556,16,236,1503,21,8,7,-0.702702703,0.655737705,40,578,538,309,-11,BOTH,STRAIGHT,0,3,2,
lap2_problem_section_v0_1,105.440000,111.640000,3167,21,1780899116.620085955,106.144538403,60.081875,46.627852,16,235,1380,15,7,6,-0.730769231,0.588235294,40,602,562,321,1,BOTH,STRAIGHT,0,12,24,
lap2_problem_section_v0_1,105.440000,111.640000,3168,22,1780899116.658535719,106.182988167,57.460540,44.997050,16,235,1612,16,7,6,-0.730769231,0.597014925,41,602,561,321,1,BOTH,STRAIGHT,0,0,1,
lap2_problem_section_v0_1,105.440000,111.640000,3169,23,1780899116.689561844,106.214014292,54.935824,43.206863,16,235,1761,19,6,5,-0.755813953,0.622641509,56,579,523,317,-3,BOTH,STRAIGHT,0,4,38,
lap2_problem_section_v0_1,105.440000,111.640000,3170,24,1780899116.721667767,106.246120214,52.317670,41.323945,16,235,1801,21,9,5,-0.760416667,0.625000000,55,580,525,317,-3,BOTH,STRAIGHT,0,0,2,
lap2_problem_section_v0_1,105.440000,111.640000,3171,25,1780899116.758110285,106.282562733,50.008125,39.518636,16,235,1647,17,7,6,-0.777777778,0.600000000,55,598,543,326,6,BOTH,STRAIGHT,0,9,18,
lap2_problem_section_v0_1,105.440000,111.640000,3172,26,1780899116.788255692,106.312708139,48.152685,37.623280,16,235,1671,17,8,4,-0.756756757,0.629629630,52,576,524,314,-6,BOTH,STRAIGHT,0,12,19,
lap2_problem_section_v0_1,105.440000,111.640000,3173,27,1780899116.825162172,106.349614620,46.506349,35.799844,16,235,1592,20,8,7,-0.777777778,0.592592593,53,598,545,325,5,BOTH,STRAIGHT,0,11,21,
lap2_problem_section_v0_1,105.440000,111.640000,3174,28,1780899116.856188774,106.380641222,45.038082,34.013136,16,235,1606,17,7,6,-0.781512605,0.581395349,52,581,529,316,-4,BOTH,STRAIGHT,0,9,16,
lap2_problem_section_v0_1,105.440000,111.640000,3175,29,1780899116.888282537,106.412734985,43.873920,32.384493,16,235,1521,18,7,6,-0.744680851,0.602564103,50,578,528,314,-6,BOTH,STRAIGHT,0,2,1,
lap2_problem_section_v0_1,105.440000,111.640000,3176,30,1780899116.924912691,106.449365139,42.890866,30.822811,16,235,1485,15,7,5,-0.756756757,0.629629630,52,575,523,313,-7,BOTH,STRAIGHT,0,1,5,
lap2_problem_section_v0_1,105.440000,111.640000,3177,31,1780899116.957606316,106.482058764,41.773324,29.454446,16,235,1493,15,5,6,-0.709677419,0.623853211,36,576,540,306,-14,BOTH,STRAIGHT,0,7,17,
lap2_problem_section_v0_1,105.440000,111.640000,3178,32,1780899116.987499952,106.511952400,40.863991,28.386178,16,233,1438,17,7,5,-0.777777778,0.628571429,52,575,523,313,-7,BOTH,STRAIGHT,0,7,17,
lap2_problem_section_v0_1,105.440000,111.640000,3179,33,1780899117.024239302,106.548691750,39.654517,27.448206,16,206,1508,17,7,5,-0.736842105,0.585365854,47,597,550,322,2,BOTH,STRAIGHT,0,9,27,
lap2_problem_section_v0_1,105.440000,111.640000,3180,34,1780899117.055464029,106.579916477,38.682060,26.436449,16,202,1441,16,6,6,-0.750000000,0.605263158,49,577,528,313,-7,BOTH,STRAIGHT,0,9,22,
lap2_problem_section_v0_1,105.440000,111.640000,3181,35,1780899117.092112303,106.616564751,37.665412,25.533147,16,196,1356,14,6,6,-0.750000000,0.625000000,49,573,524,311,-9,BOTH,STRAIGHT,0,2,4,
lap2_problem_section_v0_1,105.440000,111.640000,3182,36,1780899117.125254631,106.649707079,36.795455,24.618046,16,201,1489,12,5,4,-0.785714286,0.571428571,51,595,544,323,3,BOTH,STRAIGHT,0,12,20,
lap2_problem_section_v0_1,105.440000,111.640000,3183,37,1780899117.156235456,106.680687904,35.847798,23.726857,16,199,1401,15,5,7,-0.736111111,0.571428571,47,593,546,320,0,BOTH,STRAIGHT,0,3,2,
lap2_problem_section_v0_1,105.440000,111.640000,3184,38,1780899117.191874266,106.716326714,35.017358,22.780666,16,191,1317,11,5,4,-0.759493671,0.608247423,46,569,523,307,-13,BOTH,STRAIGHT,0,13,23,
lap2_problem_section_v0_1,105.440000,111.640000,3185,39,1780899117.223500729,106.747953176,34.122386,21.759029,16,185,1341,12,5,6,-0.769230769,0.550000000,47,592,545,319,-1,BOTH,STRAIGHT,0,12,22,
lap2_problem_section_v0_1,105.440000,111.640000,3186,40,1780899117.255518198,106.779970646,33.299375,20.797359,16,195,1328,9,3,5,-0.755813953,0.604166667,44,567,523,305,-15,BOTH,STRAIGHT,0,14,22,
lap2_problem_section_v0_1,105.440000,111.640000,3187,41,1780899117.293936253,106.818388700,32.370000,19.628109,16,185,1291,9,4,4,-0.755319149,0.623853211,43,565,522,304,-16,BOTH,STRAIGHT,0,1,1,
lap2_problem_section_v0_1,105.440000,111.640000,3188,42,1780899117.326393843,106.850846291,31.399205,18.341890,16,191,1289,10,3,6,-0.760000000,0.590909091,42,568,526,305,-15,BOTH,STRAIGHT,0,1,4,
lap2_problem_section_v0_1,105.440000,111.640000,3189,43,1780899117.361971378,106.886423826,30.844134,17.000971,16,175,1303,12,5,6,-0.781818182,0.628571429,43,562,519,302,-18,BOTH,STRAIGHT,0,3,7,
lap2_problem_section_v0_1,105.440000,111.640000,3190,44,1780899117.395616055,106.920068502,30.238111,15.848754,16,176,1310,14,5,7,-0.786885246,0.566666667,45,585,540,315,-5,BOTH,STRAIGHT,0,13,21,
lap2_problem_section_v0_1,105.440000,111.640000,3191,45,1780899117.422928572,106.947381020,29.712926,14.710452,16,183,1171,9,2,6,-0.778761062,0.600000000,43,563,520,303,-17,BOTH,STRAIGHT,0,12,20,
lap2_problem_section_v0_1,105.440000,111.640000,3192,46,1780899117.459341526,106.983793974,29.418892,13.622652,16,174,1206,10,3,7,-0.788990826,0.574074074,41,582,541,311,-9,BOTH,STRAIGHT,0,8,21,
lap2_problem_section_v0_1,105.440000,111.640000,3193,47,1780899117.491887808,107.016340256,28.832372,12.628156,16,170,1270,10,4,5,-0.784615385,0.603773585,41,559,518,300,-20,BOTH,STRAIGHT,0,11,23,
lap2_problem_section_v0_1,105.440000,111.640000,3194,48,1780899117.523783684,107.048236132,28.511293,11.667748,16,165,1171,10,4,6,-0.787878788,0.575000000,38,562,524,300,-20,BOTH,STRAIGHT,0,0,6,
lap2_problem_section_v0_1,105.440000,111.640000,3195,49,1780899117.558941841,107.083394289,28.229773,10.746870,16,153,1085,9,3,6,-0.786407767,0.576923077,36,579,543,307,-13,BOTH,STRAIGHT,0,7,19,
lap2_problem_section_v0_1,105.440000,111.640000,3196,50,1780899117.592744350,107.117196798,27.997528,9.969581,16,140,1135,8,4,4,-0.805555556,0.601769912,36,556,520,296,-24,BOTH,STRAIGHT,0,11,23,
lap2_problem_section_v0_1,105.440000,111.640000,3197,51,1780899117.628523588,107.152976036,27.632685,9.260130,16,112,1069,8,3,5,-0.810000000,0.527777778,35,585,550,310,-10,BOTH,STRAIGHT,0,14,30,
lap2_problem_section_v0_1,105.440000,111.640000,3198,52,1780899117.662224531,107.186676979,27.682486,8.824472,16,111,1065,12,4,8,-0.842105263,0.627906977,38,552,514,295,-25,BOTH,STRAIGHT,0,15,36,
lap2_problem_section_v0_1,105.440000,111.640000,3199,53,1780899117.693482876,107.217935324,27.296023,8.518924,16,79,967,10,3,7,-0.836734694,0.620000000,35,552,517,293,-27,BOTH,STRAIGHT,0,2,3,
lap2_problem_section_v0_1,105.440000,111.640000,3200,54,1780899117.730679989,107.255132437,27.301023,8.365613,16,73,1078,10,3,7,-0.843750000,0.607843137,35,551,516,293,-27,BOTH,STRAIGHT,0,0,1,
lap2_problem_section_v0_1,105.440000,111.640000,3201,55,1780899117.761324644,107.285777092,26.909148,8.221002,16,74,1102,10,4,6,-0.870967742,0.608247423,20,551,531,285,-35,BOTH,STRAIGHT,0,8,15,
lap2_problem_section_v0_1,105.440000,111.640000,3202,56,1780899117.792197943,107.316650391,27.047756,8.055716,16,75,1111,8,4,4,-0.833333333,0.623853211,17,550,533,283,-37,BOTH,STRAIGHT,0,2,2,
lap2_problem_section_v0_1,105.440000,111.640000,3203,57,1780899117.828613520,107.353065968,26.817074,8.029337,16,75,1129,15,6,7,-0.866666667,0.569230769,19,572,553,295,-25,BOTH,STRAIGHT,0,12,20,
lap2_problem_section_v0_1,105.440000,111.640000,3204,58,1780899117.860447168,107.384899616,26.639119,8.004278,16,77,1070,13,5,8,-0.900000000,0.545454545,33,557,524,295,-25,BOTH,STRAIGHT,0,0,29,
lap2_problem_section_v0_1,105.440000,111.640000,3205,59,1780899117.896301985,107.420754433,26.584432,7.884722,16,76,1092,9,3,6,-0.870967742,0.625000000,32,549,517,290,-30,BOTH,STRAIGHT,0,5,7,
lap2_problem_section_v0_1,105.440000,111.640000,3206,60,1780899117.929931164,107.454383612,26.500426,7.816289,16,77,1032,12,5,7,-0.846153846,0.520833333,19,580,561,299,-21,BOTH,STRAIGHT,0,9,44,
lap2_problem_section_v0_1,105.440000,111.640000,3207,61,1780899117.959368229,107.483820677,26.567017,7.835862,16,79,1107,12,4,7,-0.866666667,0.590909091,20,571,551,295,-25,BOTH,STRAIGHT,0,4,10,
lap2_problem_section_v0_1,105.440000,111.640000,3208,62,1780899117.995633602,107.520086050,26.591207,7.842687,16,78,1004,10,3,7,-0.878787879,0.625000000,20,548,528,284,-36,BOTH,STRAIGHT,0,11,23,
lap2_problem_section_v0_1,105.440000,111.640000,3209,63,1780899118.027787924,107.552240372,26.422045,7.872184,16,77,998,9,3,6,-0.857142857,0.568181818,19,555,536,287,-33,BOTH,STRAIGHT,0,3,8,
lap2_problem_section_v0_1,105.440000,111.640000,3210,64,1780899118.064981699,107.589434147,26.509844,7.914866,16,77,1030,10,4,6,-0.833333333,0.576923077,17,553,536,285,-35,BOTH,STRAIGHT,0,2,0,
lap2_problem_section_v0_1,105.440000,111.640000,3211,65,1780899118.095094919,107.619547367,26.500028,8.016071,16,79,941,10,3,7,-0.866666667,0.517241379,19,564,545,291,-29,BOTH,STRAIGHT,0,6,9,
lap2_problem_section_v0_1,105.440000,111.640000,3212,66,1780899118.127860069,107.652312517,26.599744,8.158558,16,80,900,9,3,6,-0.882352941,0.584905660,21,554,533,287,-33,BOTH,STRAIGHT,0,4,12,
lap2_problem_section_v0_1,105.440000,111.640000,3213,67,1780899118.165196896,107.689649343,26.480000,8.157473,16,82,866,9,3,6,-0.888888889,0.600000000,22,553,531,287,-33,BOTH,STRAIGHT,0,0,2,
lap2_problem_section_v0_1,105.440000,111.640000,3214,68,1780899118.195801497,107.720253944,26.539872,8.227973,16,84,817,10,3,7,-0.821428571,0.604651163,16,552,536,284,-36,BOTH,STRAIGHT,0,3,5,
lap2_problem_section_v0_1,105.440000,111.640000,3215,69,1780899118.227777004,107.752229452,26.509858,8.203572,16,83,781,8,2,6,-0.850000000,0.568181818,19,573,554,296,-24,BOTH,STRAIGHT,0,12,18,
lap2_problem_section_v0_1,105.440000,111.640000,3216,70,1780899118.262741327,107.787193775,26.571037,8.155421,16,80,785,9,3,6,-0.904761905,0.578947368,20,554,534,287,-33,BOTH,STRAIGHT,0,9,20,
lap2_problem_section_v0_1,105.440000,111.640000,3217,71,1780899118.294864416,107.819316864,26.475625,8.221005,16,82,751,9,2,7,-0.872727273,0.578313253,18,556,538,287,-33,BOTH,STRAIGHT,0,0,4,
lap2_problem_section_v0_1,105.440000,111.640000,3218,72,1780899118.331521511,107.855973959,26.473011,8.245969,16,81,807,13,3,9,-0.916666667,0.600000000,20,555,535,287,-33,BOTH,STRAIGHT,0,0,3,
lap2_problem_section_v0_1,105.440000,111.640000,3219,73,1780899118.362819672,107.887272120,26.595739,8.467031,16,82,739,8,2,6,-0.880952381,0.584158416,19,557,538,288,-32,BOTH,STRAIGHT,0,1,3,
lap2_problem_section_v0_1,105.440000,111.640000,3220,74,1780899118.395777941,107.920230389,26.682415,8.511342,17,83,835,10,3,6,-1.068965517,0.560975610,26,559,533,292,-28,BOTH,STRAIGHT,0,4,5,
lap2_problem_section_v0_1,105.440000,111.640000,3221,75,1780899118.431970596,107.956423044,26.874503,8.551316,18,84,768,9,2,7,-0.969696970,0.605263158,22,555,533,288,-32,BOTH,STRAIGHT,0,4,0,
lap2_problem_section_v0_1,105.440000,111.640000,3222,76,1780899118.462742090,107.987194538,27.035568,8.614271,17,84,734,9,2,7,-1.057142857,0.607142857,24,556,532,290,-30,BOTH,STRAIGHT,0,2,1,
lap2_problem_section_v0_1,105.440000,111.640000,3223,77,1780899118.495527506,108.019979954,26.745938,8.655401,17,84,772,9,3,6,-1.000000000,0.555555556,21,563,542,292,-28,BOTH,STRAIGHT,0,2,10,
lap2_problem_section_v0_1,105.440000,111.640000,3224,78,1780899118.531471491,108.055923939,26.787685,8.755527,17,84,739,8,2,6,-1.000000000,0.580645161,22,561,539,291,-29,BOTH,STRAIGHT,0,1,3,
lap2_problem_section_v0_1,105.440000,111.640000,3225,79,1780899118.562907457,108.087359905,27.025881,8.864490,16,86,720,8,2,6,-1.000000000,0.600000000,22,558,536,290,-30,BOTH,STRAIGHT,0,1,3,
lap2_problem_section_v0_1,105.440000,111.640000,3226,80,1780899118.601916790,108.126369238,27.038210,8.934879,16,85,756,8,2,6,-1.000000000,0.537313433,21,564,543,292,-28,BOTH,STRAIGHT,0,2,7,
lap2_problem_section_v0_1,105.440000,111.640000,3227,81,1780899118.632880449,108.157332897,26.819957,9.026924,16,84,733,11,3,8,-1.185185185,0.551724138,27,563,536,225,-95,BOTH,LEFT,0,67,7,
lap2_problem_section_v0_1,105.440000,111.640000,3228,82,1780899118.664240122,108.188692570,26.871037,9.136534,17,85,787,11,4,7,-1.097560976,0.571428571,23,582,559,302,-18,BOTH,STRAIGHT,0,77,23,
lap2_problem_section_v0_1,105.440000,111.640000,3229,83,1780899118.700647116,108.225099564,27.203239,9.280256,16,86,744,8,2,6,-1.139534884,0.571428571,24,561,537,292,-28,BOTH,STRAIGHT,0,10,22,
lap2_problem_section_v0_1,105.440000,111.640000,3230,84,1780899118.732601643,108.257054090,27.275355,9.448316,17,85,751,9,2,7,-1.113636364,0.583333333,23,561,538,292,-28,BOTH,STRAIGHT,0,0,1,
lap2_problem_section_v0_1,105.440000,111.640000,3231,85,1780899118.763970852,108.288423300,27.359418,9.558683,16,86,771,9,2,7,-1.116279070,0.486486486,22,575,553,298,-22,BOTH,STRAIGHT,0,6,15,
