segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,suspicious_reasons
lap2_problem_section_v0_1,105.440000,111.640000,3146,0,1780899115.918930769,105.443383217,100.522543,65.397084,16,235,722,6,2,4,-0.785046729,0.722222222,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,2,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,
lap2_problem_section_v0_1,105.440000,111.640000,3147,1,1780899115.953891039,105.478343487,99.827017,65.644814,16,236,685,10,3,7,-0.781250000,0.721311475,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3148,2,1780899115.986154795,105.510607243,98.707912,65.640939,16,236,747,12,6,6,-0.787037037,0.719298246,66,580,514,323,3,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3149,3,1780899116.017976999,105.542429447,97.460568,65.507324,16,236,830,18,7,11,-0.809523810,0.702702703,66,580,514,323,3,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3150,4,1780899116.052480698,105.576933146,96.034517,65.175543,16,236,876,13,5,8,-0.788135593,0.728571429,65,580,515,322,2,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3151,5,1780899116.085083008,105.609535456,94.428764,64.574778,16,236,877,14,7,7,-0.781250000,0.702702703,65,579,514,322,2,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3152,6,1780899116.121573925,105.646026373,92.481165,63.824269,16,236,906,14,7,7,-0.782608696,0.717948718,64,579,515,321,1,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3153,7,1780899116.152004957,105.676457405,90.491420,63.071476,16,236,872,13,7,6,-0.803030303,0.722222222,63,580,517,321,1,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3154,8,1780899116.183911800,105.708364248,88.583196,62.435776,16,235,941,20,12,8,-0.815789474,0.726415094,63,580,517,321,1,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3155,9,1780899116.223921537,105.748373985,86.517543,61.536038,16,236,966,17,8,9,-0.800000000,0.727272727,63,580,517,321,1,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3156,10,1780899116.252811193,105.777263641,84.380739,60.520379,16,236,999,15,8,7,-0.808695652,0.676470588,63,581,518,322,2,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3157,11,1780899116.283829927,105.808282375,82.222557,59.442467,16,235,1006,15,7,8,-0.785714286,0.673076923,62,581,519,321,1,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3158,12,1780899116.319523573,105.843976021,79.980895,58.314638,16,235,987,16,7,9,-0.789473684,0.701754386,61,581,520,321,1,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3159,13,1780899116.352965832,105.877418280,78.143622,57.282205,16,235,991,16,7,9,-0.808695652,0.694444444,61,581,520,321,1,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3160,14,1780899116.387451649,105.911904097,76.133821,56.199483,16,235,1020,17,10,7,-0.791666667,0.721518987,61,582,521,321,1,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3161,15,1780899116.419361115,105.943813562,74.222045,55.163790,16,236,1053,17,8,9,-0.783783784,0.769230769,60,582,522,321,1,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3162,16,1780899116.452617645,105.977070093,72.293011,53.940918,16,235,1043,16,8,8,-0.791666667,0.642857143,60,581,521,320,0,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3163,17,1780899116.490041256,106.014493704,70.122074,52.705341,16,235,1037,17,7,10,-0.786885246,0.642857143,60,581,521,320,0,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3164,18,1780899116.522756815,106.047209263,67.974886,51.272481,16,235,1064,18,9,9,-0.782945736,0.671428571,60,579,519,319,-1,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3165,19,1780899116.552119255,106.076571703,64.839048,50.010546,16,235,1063,16,8,8,-0.786885246,0.651162791,58,579,521,318,-2,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3166,20,1780899116.588615894,106.113068342,62.543196,48.332556,16,236,1094,17,8,9,-0.800000000,0.741379310,58,580,522,319,-1,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3167,21,1780899116.620085955,106.144538403,60.081875,46.627852,16,235,1080,20,10,10,-0.781512605,0.701492537,56,580,524,318,-2,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3168,22,1780899116.658535719,106.182988167,57.460540,44.997050,16,235,1111,19,8,11,-0.809523810,0.645161290,56,580,524,318,-2,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
lap2_problem_section_v0_1,105.440000,111.640000,3169,23,1780899116.689561844,106.214014292,54.935824,43.206863,16,235,1115,20,10,10,-0.811594203,0.651515152,56,579,523,317,-3,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,v0_2_local_first_used;v0_2_local_accept
