segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap1_problem_section_baseline,0.000000,10.000000,0,0,1780899010.475547552,0.000000000,137.614673,47.965601,34,235,524,6,4,2,-0.510204082,0.836956522,51,600,549,325,5,BOTH,STRAIGHT,0,5,,
lap1_problem_section_baseline,0.000000,10.000000,1,1,1780899010.510176420,0.034628868,137.502472,48.034081,16,235,476,5,3,2,-0.586206897,0.840000000,60,600,540,330,10,BOTH,STRAIGHT,0,5,9,
lap1_problem_section_baseline,0.000000,10.000000,2,2,1780899010.541003466,0.065455914,137.527656,48.016626,19,235,519,6,4,2,-0.527777778,0.854545455,54,599,545,326,6,BOTH,STRAIGHT,0,4,5,
lap1_problem_section_baseline,0.000000,10.000000,3,3,1780899010.573039055,0.097491503,137.556364,47.998603,22,235,474,5,3,2,-0.583333333,0.854545455,60,599,539,329,9,BOTH,STRAIGHT,0,3,6,
lap1_problem_section_baseline,0.000000,10.000000,4,4,1780899010.607686520,0.132138968,137.570639,47.980891,33,235,526,6,4,2,-0.590909091,0.854545455,61,599,538,330,10,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_baseline,0.000000,10.000000,5,5,1780899010.640454769,0.164907217,137.600227,47.963956,19,235,475,5,3,2,-0.530303030,0.836734694,55,600,545,327,7,BOTH,STRAIGHT,0,3,7,
lap1_problem_section_baseline,0.000000,10.000000,6,6,1780899010.672094584,0.196547031,137.563963,47.979093,34,235,520,5,3,2,-0.508771930,0.857142857,51,598,547,324,4,BOTH,STRAIGHT,0,3,2,
lap1_problem_section_baseline,0.000000,10.000000,7,7,1780899010.707976580,0.232429028,137.625298,47.929844,19,235,477,6,4,2,-0.592592593,0.857142857,60,599,539,329,9,BOTH,STRAIGHT,0,5,8,
lap1_problem_section_baseline,0.000000,10.000000,8,8,1780899010.739947796,0.264400244,137.590739,47.948511,16,235,478,6,3,3,-0.600000000,0.841269841,60,599,539,329,9,BOTH,STRAIGHT,0,0,0,
lap1_problem_section_baseline,0.000000,10.000000,9,9,1780899010.778089762,0.302542210,137.581293,47.949136,16,235,519,6,3,3,-0.508771930,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,4,10,
lap1_problem_section_baseline,0.000000,10.000000,10,10,1780899010.808962584,0.333415031,137.651080,47.891714,21,235,480,6,4,2,-0.557142857,0.864864865,57,598,541,327,7,BOTH,STRAIGHT,0,2,8,
lap1_problem_section_baseline,0.000000,10.000000,11,11,1780899010.840103149,0.364555597,137.600014,47.910728,19,235,478,6,3,3,-0.578313253,0.838235294,60,600,540,330,10,BOTH,STRAIGHT,0,3,1,
lap1_problem_section_baseline,0.000000,10.000000,12,12,1780899010.877126217,0.401578665,137.575767,47.925786,22,235,520,5,3,2,-0.533333333,0.837837838,54,600,546,327,7,BOTH,STRAIGHT,0,3,6,
lap1_problem_section_baseline,0.000000,10.000000,13,13,1780899010.907803535,0.432255983,137.663509,47.878345,17,235,514,7,5,2,-0.625000000,0.864864865,63,598,535,330,10,BOTH,STRAIGHT,0,3,11,
lap1_problem_section_baseline,0.000000,10.000000,14,14,1780899010.940428019,0.464880466,137.640881,47.869084,19,236,475,7,4,3,-0.600000000,0.839285714,60,599,539,329,9,BOTH,STRAIGHT,0,1,4,
lap1_problem_section_baseline,0.000000,10.000000,15,15,1780899010.976072550,0.500524998,137.641207,47.865204,16,235,521,6,4,2,-0.550000000,0.834951456,58,600,542,329,9,BOTH,STRAIGHT,0,0,3,
lap1_problem_section_baseline,0.000000,10.000000,16,16,1780899011.007823944,0.532276392,137.616420,47.877177,30,235,479,6,3,3,-0.532258065,0.839285714,54,599,545,326,6,BOTH,STRAIGHT,0,3,3,
lap1_problem_section_baseline,0.000000,10.000000,17,17,1780899011.044585705,0.569038153,137.609531,47.877188,16,235,522,6,3,3,-0.555555556,0.840000000,59,600,541,329,9,BOTH,STRAIGHT,0,3,4,
lap1_problem_section_baseline,0.000000,10.000000,18,18,1780899011.078757763,0.603210211,137.628750,47.857994,16,235,474,5,3,2,-0.509803922,0.836734694,51,600,549,325,5,BOTH,STRAIGHT,0,4,8,
lap1_problem_section_baseline,0.000000,10.000000,19,19,1780899011.114428043,0.638880491,137.631435,47.852572,16,235,478,6,3,3,-0.583333333,0.843137255,59,599,540,329,9,BOTH,STRAIGHT,0,4,9,
lap1_problem_section_baseline,0.000000,10.000000,20,20,1780899011.148208618,0.672661066,137.683864,47.821603,16,235,519,5,3,2,-0.592592593,0.836956522,61,600,539,330,10,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_baseline,0.000000,10.000000,21,21,1780899011.179357529,0.703809977,137.620014,47.847227,16,235,519,5,3,2,-0.509433962,0.836734694,52,600,548,326,6,BOTH,STRAIGHT,0,4,9,
lap1_problem_section_baseline,0.000000,10.000000,22,22,1780899011.210291862,0.734744310,137.596009,47.861927,20,235,520,5,3,2,-0.571428571,0.839080460,60,600,540,330,10,BOTH,STRAIGHT,0,4,8,
lap1_problem_section_baseline,0.000000,10.000000,23,23,1780899011.245251894,0.769704342,137.620085,47.850663,16,235,524,5,3,2,-0.554216867,0.868421053,58,598,540,328,8,BOTH,STRAIGHT,0,2,0,
lap1_problem_section_baseline,0.000000,10.000000,24,24,1780899011.279448509,0.803900957,137.618878,47.848068,16,235,478,5,3,2,-0.533333333,0.840000000,54,599,545,326,6,BOTH,STRAIGHT,0,2,5,
lap1_problem_section_baseline,0.000000,10.000000,25,25,1780899011.316805124,0.841257572,137.618906,47.851932,16,235,520,5,3,2,-0.600000000,0.834951456,61,600,539,330,10,BOTH,STRAIGHT,0,4,6,
lap1_problem_section_baseline,0.000000,10.000000,26,26,1780899011.346085310,0.870537758,137.706122,47.800913,16,235,528,5,3,2,-0.625000000,0.868421053,62,598,536,330,10,BOTH,STRAIGHT,0,0,3,
lap1_problem_section_baseline,0.000000,10.000000,27,27,1780899011.382142782,0.906595230,137.693153,47.820082,31,235,477,6,4,2,-0.600000000,0.854545455,60,599,539,329,9,BOTH,STRAIGHT,0,1,3,
lap1_problem_section_baseline,0.000000,10.000000,28,28,1780899011.415303230,0.939755678,137.615312,47.878870,28,235,526,5,3,2,-0.532258065,0.857142857,55,599,544,327,7,BOTH,STRAIGHT,0,2,5,
lap1_problem_section_baseline,0.000000,10.000000,29,29,1780899011.447246075,0.971698523,137.670866,47.847711,22,235,526,6,3,3,-0.533333333,0.840000000,54,600,546,327,7,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_baseline,0.000000,10.000000,30,30,1780899011.483851910,1.008304358,137.624503,47.886334,24,235,522,6,3,3,-0.540000000,0.837837838,55,600,545,327,7,BOTH,STRAIGHT,0,0,1,
lap1_problem_section_baseline,0.000000,10.000000,31,31,1780899011.515626907,1.040079355,137.621634,47.892045,16,235,522,6,4,2,-0.529411765,0.836956522,53,600,547,326,6,BOTH,STRAIGHT,0,1,2,
lap1_problem_section_baseline,0.000000,10.000000,32,32,1780899011.546669960,1.071122408,137.617500,47.904250,22,235,527,5,3,2,-0.532258065,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_baseline,0.000000,10.000000,33,33,1780899011.580502510,1.104954958,137.696335,47.849703,36,235,479,6,3,3,-0.512195122,0.840000000,51,600,549,325,5,BOTH,STRAIGHT,0,2,3,
lap1_problem_section_baseline,0.000000,10.000000,34,34,1780899011.613228798,1.137681246,137.681037,47.881957,32,235,477,5,3,2,-0.600000000,0.843137255,62,599,537,330,10,BOTH,STRAIGHT,0,5,12,
lap1_problem_section_baseline,0.000000,10.000000,35,35,1780899011.644019842,1.168472290,137.616832,47.925808,33,235,527,5,3,2,-0.533333333,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,3,9,
lap1_problem_section_baseline,0.000000,10.000000,36,36,1780899011.681120634,1.205573082,137.592187,47.952148,22,235,521,6,3,3,-0.542857143,0.843137255,55,599,544,327,7,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_baseline,0.000000,10.000000,37,37,1780899011.712993622,1.237446070,137.526577,47.989285,16,235,525,5,3,2,-0.576923077,0.863636364,59,598,539,328,8,BOTH,STRAIGHT,0,1,5,
