segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
lap1_problem_section_v0,37.440000,43.640000,1117,0,1780899047.915690422,37.440142870,102.695895,65.163754,16,236,723,7,3,4,-0.716981132,0.807692308,51,560,509,305,-15,BOTH,STRAIGHT,0,15,,
lap1_problem_section_v0,37.440000,43.640000,1118,1,1780899047.947730541,37.472182989,101.814162,65.534129,16,236,798,8,2,6,-0.727272727,0.730769231,49,581,532,315,-5,BOTH,STRAIGHT,0,10,23,
lap1_problem_section_v0,37.440000,43.640000,1119,2,1780899047.981523991,37.505976439,100.640455,65.661100,16,235,858,7,3,4,-0.720000000,0.807692308,49,557,508,303,-17,BOTH,STRAIGHT,0,12,24,
lap1_problem_section_v0,37.440000,43.640000,1120,3,1780899048.011941195,37.536393642,99.517259,65.552581,16,236,887,9,2,5,-0.725806452,0.785714286,48,558,510,303,-17,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_v0,37.440000,43.640000,1121,4,1780899048.043987989,37.568440437,98.343437,65.387368,16,236,889,9,2,4,-0.714285714,0.700000000,46,581,535,313,-7,BOTH,STRAIGHT,0,10,25,
lap1_problem_section_v0,37.440000,43.640000,1122,5,1780899048.083077431,37.607529879,96.831690,65.002796,16,236,962,12,2,7,-0.727272727,0.793103448,46,558,512,302,-18,BOTH,STRAIGHT,0,11,23,
lap1_problem_section_v0,37.440000,43.640000,1123,6,1780899048.112938643,37.637391090,95.123437,64.704204,16,235,1021,12,3,6,-0.726415094,0.736842105,45,561,516,303,-17,BOTH,STRAIGHT,0,1,4,
lap1_problem_section_v0,37.440000,43.640000,1124,7,1780899048.144531727,37.668984175,93.504659,64.276878,16,236,1010,12,3,6,-0.679245283,0.785714286,43,557,514,300,-20,BOTH,STRAIGHT,0,3,2,
lap1_problem_section_v0,37.440000,43.640000,1125,8,1780899048.180727243,37.705179691,91.471690,63.696062,16,236,1049,13,2,8,-0.714285714,0.777777778,44,558,514,301,-19,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0,37.440000,43.640000,1126,9,1780899048.212829351,37.737281799,89.715000,63.100788,16,236,1085,13,5,7,-0.931034483,0.711111111,208,581,373,394,74,BOTH,STRAIGHT,0,93,141,center_jump;lane_width_jump
lap1_problem_section_v0,37.440000,43.640000,1127,10,1780899048.247510672,37.771963120,87.759418,62.322412,16,236,1098,11,5,5,-0.969696970,0.707692308,211,560,349,385,65,BOTH,STRAIGHT,0,9,24,
lap1_problem_section_v0,37.440000,43.640000,1128,11,1780899048.279626608,37.804079056,85.490440,61.456031,16,236,1128,13,5,6,-0.916666667,0.733333333,210,559,349,384,64,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0,37.440000,43.640000,1129,12,1780899048.312417269,37.836869717,83.533125,60.545709,16,236,1166,16,8,6,-1.000000000,0.750000000,216,557,341,386,66,BOTH,STRAIGHT,0,2,8,
lap1_problem_section_v0,37.440000,43.640000,1130,13,1780899048.348576069,37.873028517,81.402443,59.554557,16,236,1211,14,6,6,-0.947368421,0.741379310,220,557,337,388,68,BOTH,STRAIGHT,0,2,4,
lap1_problem_section_v0,37.440000,43.640000,1131,14,1780899048.380002737,37.904455185,79.537614,58.361926,16,236,1244,15,6,7,-0.968750000,0.750000000,218,555,337,386,66,BOTH,STRAIGHT,0,2,0,
lap1_problem_section_v0,37.440000,43.640000,1132,15,1780899048.412485361,37.936937809,77.435739,57.183057,16,235,1287,16,8,6,-1.000000000,0.753846154,223,557,334,390,70,BOTH,STRAIGHT,0,4,3,
lap1_problem_section_v0,37.440000,43.640000,1133,16,1780899048.447460651,37.971913099,75.145000,56.004796,16,236,1235,13,6,5,-0.970588235,0.704225352,226,559,333,392,72,BOTH,STRAIGHT,0,2,1,
lap1_problem_section_v0,37.440000,43.640000,1134,17,1780899048.480207682,38.004660130,72.918750,54.766410,16,235,1200,16,7,7,-0.964285714,0.679245283,230,560,330,395,75,BOTH,STRAIGHT,0,3,3,
lap1_problem_section_v0,37.440000,43.640000,1135,18,1780899048.516649723,38.041102171,70.679205,53.387789,16,235,1179,14,6,6,-1.000000000,0.657142857,230,580,350,405,85,BOTH,STRAIGHT,0,10,20,
lap1_problem_section_v0,37.440000,43.640000,1136,19,1780899048.547446966,38.071899414,68.070284,52.101934,16,236,1153,13,5,6,-0.666666667,0.659574468,24,562,538,293,-27,BOTH,STRAIGHT,0,112,188,center_jump;lane_width_jump
lap1_problem_section_v0,37.440000,43.640000,1137,20,1780899048.580132961,38.104585409,65.571648,50.833670,16,235,1128,13,4,8,-0.666666667,0.707317073,24,558,534,291,-29,BOTH,STRAIGHT,0,2,4,
lap1_problem_section_v0,37.440000,43.640000,1138,21,1780899048.616564751,38.141017199,63.112145,49.525319,16,235,1098,15,7,7,-0.705882353,0.700000000,43,559,516,301,-19,BOTH,STRAIGHT,0,10,18,
lap1_problem_section_v0,37.440000,43.640000,1139,22,1780899048.647711992,38.172164440,60.855270,48.091363,16,235,1093,15,6,7,-0.739130435,0.709677419,43,558,515,300,-20,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_v0,37.440000,43.640000,1140,23,1780899048.679987431,38.204439878,58.430923,46.571860,16,236,1110,13,6,6,-0.670329670,0.733333333,25,556,531,290,-30,BOTH,STRAIGHT,0,10,16,
lap1_problem_section_v0,37.440000,43.640000,1141,24,1780899048.715720415,38.240172863,55.946506,45.017176,16,235,1107,14,6,6,-0.671641791,0.673076923,23,560,537,291,-29,BOTH,STRAIGHT,0,1,6,
lap1_problem_section_v0,37.440000,43.640000,1142,25,1780899048.747730732,38.272183180,53.247741,43.458711,16,236,1073,14,7,6,-0.701030928,0.700934579,38,555,517,296,-24,BOTH,STRAIGHT,0,5,20,
lap1_problem_section_v0,37.440000,43.640000,1143,26,1780899048.784356833,38.308809280,51.125923,41.673179,16,236,1062,13,4,7,-0.702380952,0.695652174,36,555,519,295,-25,BOTH,STRAIGHT,0,1,2,
lap1_problem_section_v0,37.440000,43.640000,1144,27,1780899048.816606045,38.341058493,49.206080,39.687764,16,235,1001,12,4,7,-0.694444444,0.656716418,25,559,534,292,-28,BOTH,STRAIGHT,0,3,15,
lap1_problem_section_v0,37.440000,43.640000,1145,28,1780899048.847639561,38.372092009,47.192017,37.308116,16,235,1001,11,4,6,-0.706521739,0.650000000,41,562,521,301,-19,BOTH,STRAIGHT,0,9,13,
lap1_problem_section_v0,37.440000,43.640000,1146,29,1780899048.884940624,38.409393072,45.622045,34.808634,16,235,1001,12,5,6,-0.724137931,0.650000000,44,565,521,304,-16,BOTH,STRAIGHT,0,3,0,
lap1_problem_section_v0,37.440000,43.640000,1147,30,1780899048.917047739,38.441500187,44.269645,32.832851,16,235,946,10,3,7,-0.711538462,0.703703704,43,561,518,302,-18,BOTH,STRAIGHT,0,2,3,
lap1_problem_section_v0,37.440000,43.640000,1148,31,1780899048.957524300,38.481976748,43.101946,31.305886,16,235,912,11,4,6,-0.705882353,0.650000000,42,563,521,302,-18,BOTH,STRAIGHT,0,0,3,
lap1_problem_section_v0,37.440000,43.640000,1149,32,1780899048.983292580,38.507745028,41.850298,29.729994,16,235,897,12,4,7,-0.695652174,0.629629630,40,583,543,311,-9,BOTH,STRAIGHT,0,9,22,
lap1_problem_section_v0,37.440000,43.640000,1150,33,1780899049.017113924,38.541566372,40.655455,28.454945,16,205,884,10,4,5,-0.714285714,0.656250000,42,563,521,302,-18,BOTH,STRAIGHT,0,9,22,
lap1_problem_section_v0,37.440000,43.640000,1151,34,1780899049.051377058,38.575829506,39.542585,27.554249,16,206,816,10,4,6,-0.716666667,0.666666667,42,560,518,301,-19,BOTH,STRAIGHT,0,1,3,
lap1_problem_section_v0,37.440000,43.640000,1152,35,1780899049.085232496,38.609684944,38.684744,26.616827,16,194,828,10,5,5,-0.714285714,0.602150538,42,583,541,312,-8,BOTH,STRAIGHT,0,11,23,
lap1_problem_section_v0,37.440000,43.640000,1153,36,1780899049.116716862,38.641169310,37.805369,25.681266,16,211,821,8,3,5,-0.701030928,0.671052632,40,558,518,299,-21,BOTH,STRAIGHT,0,13,23,
lap1_problem_section_v0,37.440000,43.640000,1154,37,1780899049.151552439,38.676004887,36.959020,24.741359,16,197,821,7,2,5,-0.705882353,0.653465347,41,557,516,299,-21,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_v0,37.440000,43.640000,1155,38,1780899049.185659170,38.710111618,35.883778,23.857022,16,186,813,8,4,4,-0.700000000,0.672566372,38,555,517,296,-24,BOTH,STRAIGHT,0,3,1,
lap1_problem_section_v0,37.440000,43.640000,1156,39,1780899049.221279383,38.745731831,34.975142,23.022621,16,191,806,10,4,6,-0.707317073,0.684210526,40,553,513,296,-24,BOTH,STRAIGHT,0,0,4,
lap1_problem_section_v0,37.440000,43.640000,1157,40,1780899049.252894402,38.777346849,34.108224,21.953691,16,183,805,9,4,5,-0.714285714,0.649350649,40,556,516,298,-22,BOTH,STRAIGHT,0,2,3,
lap1_problem_section_v0,37.440000,43.640000,1158,41,1780899049.284784794,38.809237242,33.129631,20.957539,16,184,803,10,3,7,-0.707070707,0.640000000,37,556,519,296,-24,BOTH,STRAIGHT,0,2,3,
lap1_problem_section_v0,37.440000,43.640000,1159,42,1780899049.322873116,38.847325563,32.279460,19.953708,16,185,795,9,3,6,-0.721739130,0.657894737,38,557,519,297,-23,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0,37.440000,43.640000,1160,43,1780899049.353472710,38.877925158,31.734687,18.902706,16,184,777,8,3,5,-0.723214286,0.650485437,39,556,517,297,-23,BOTH,STRAIGHT,0,0,2,
lap1_problem_section_v0,37.440000,43.640000,1161,44,1780899049.384252071,38.908704519,31.237543,17.604445,16,175,746,8,2,6,-0.727272727,0.571428571,39,566,527,302,-18,BOTH,STRAIGHT,0,5,10,
lap1_problem_section_v0,37.440000,43.640000,1162,45,1780899049.419263363,38.943715811,30.478722,16.241209,16,174,717,7,2,5,-0.727272727,0.677083333,38,553,515,295,-25,BOTH,STRAIGHT,0,7,12,
lap1_problem_section_v0,37.440000,43.640000,1163,46,1780899049.451606274,38.976058722,29.848338,14.843142,16,166,613,8,2,6,-0.727272727,0.625000000,35,555,520,295,-25,BOTH,STRAIGHT,0,0,5,
lap1_problem_section_v0,37.440000,43.640000,1164,47,1780899049.488855124,39.013307571,29.348977,13.497446,16,152,674,7,2,5,-0.730337079,0.654545455,36,552,516,294,-26,BOTH,STRAIGHT,0,1,4,
lap1_problem_section_v0,37.440000,43.640000,1165,48,1780899049.522134781,39.046587229,28.869105,12.055191,16,158,653,7,1,6,-0.728260870,0.661290323,37,553,516,295,-25,BOTH,STRAIGHT,0,1,0,
lap1_problem_section_v0,37.440000,43.640000,1166,49,1780899049.551890373,39.076342821,28.488097,10.815270,16,134,637,6,1,5,-0.728260870,0.614035088,37,559,522,298,-22,BOTH,STRAIGHT,0,3,6,
lap1_problem_section_v0,37.440000,43.640000,1167,50,1780899049.589223385,39.113675833,28.260568,9.875742,16,121,615,8,1,7,-0.725000000,0.621621622,37,558,521,297,-23,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_v0,37.440000,43.640000,1168,51,1780899049.620099783,39.144552231,27.967472,9.069086,16,105,608,7,2,5,-0.726190476,0.555555556,38,585,547,311,-9,BOTH,STRAIGHT,0,14,26,
lap1_problem_section_v0,37.440000,43.640000,1169,52,1780899049.651673079,39.176125526,27.644020,8.569281,16,91,598,8,3,5,-0.777777778,0.648648649,41,558,517,299,-21,BOTH,STRAIGHT,0,12,30,
lap1_problem_section_v0,37.440000,43.640000,1170,53,1780899049.690046787,39.214499235,27.657230,8.368581,16,74,597,7,2,5,-0.753086420,0.619718310,41,561,520,301,-19,BOTH,STRAIGHT,0,2,3,
lap1_problem_section_v0,37.440000,43.640000,1171,54,1780899049.719451666,39.243904114,27.507955,8.171981,16,75,575,8,2,6,-0.756410256,0.636363636,41,561,520,301,-19,BOTH,STRAIGHT,0,0,0,
lap1_problem_section_v0,37.440000,43.640000,1172,55,1780899049.757228613,39.281681061,27.257244,8.057125,16,72,553,5,1,4,-0.777777778,0.633333333,43,563,520,303,-17,BOTH,STRAIGHT,0,2,0,
lap1_problem_section_v0,37.440000,43.640000,1173,56,1780899049.790033340,39.314485788,27.230057,7.907934,16,74,533,6,2,4,-0.754098361,0.625000000,44,565,521,304,-16,BOTH,STRAIGHT,0,1,1,
lap1_problem_section_v0,37.440000,43.640000,1174,57,1780899049.820105791,39.344558239,26.966932,7.760578,16,75,412,3,0,3,,0.650485437,,563,,302,-18,RIGHT,STRAIGHT,0,2,,
lap1_problem_section_v0,37.440000,43.640000,1175,58,1780899049.855436802,39.379889250,27.061207,7.623691,16,74,326,5,0,5,,0.656250000,,563,,302,-18,RIGHT,STRAIGHT,0,0,,
lap1_problem_section_v0,37.440000,43.640000,1176,59,1780899049.889664650,39.414117098,26.702869,7.476467,16,71,265,2,0,2,,0.648148148,,565,,304,-16,RIGHT,STRAIGHT,0,2,,
lap1_problem_section_v0,37.440000,43.640000,1177,60,1780899049.924863815,39.449316263,26.593665,7.436476,16,72,265,4,0,4,,0.623188406,,569,,308,-12,RIGHT,STRAIGHT,0,4,,
lap1_problem_section_v0,37.440000,43.640000,1178,61,1780899049.957159042,39.481611490,26.485043,7.393502,16,73,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,1,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1179,62,1780899049.989326954,39.513779402,26.597827,7.377290,16,73,1,0,0,0,,,,,,308,-12,NONE,STRAIGHT,2,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1180,63,1780899050.024988174,39.549440622,26.469276,7.378029,16,75,1,0,0,0,,,,,,308,-12,NONE,STRAIGHT,3,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1181,64,1780899050.056925297,39.581377745,26.221435,7.309028,16,72,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,4,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1182,65,1780899050.089092255,39.613544703,26.375284,7.401834,16,75,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,5,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1183,66,1780899050.126743317,39.651195765,26.350071,7.455586,16,76,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,6,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1184,67,1780899050.157560825,39.682013273,26.581705,7.517812,17,76,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,7,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1185,68,1780899050.193269253,39.717721701,26.496051,7.570426,16,76,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,8,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1186,69,1780899050.224613428,39.749065876,26.426790,7.585262,16,76,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,9,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1187,70,1780899050.257180691,39.781633139,26.420057,7.601837,16,75,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,10,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1188,71,1780899050.292533636,39.816986084,26.401563,7.658915,16,77,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,11,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1189,72,1780899050.323448896,39.847901344,26.565895,7.707849,17,77,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,12,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1190,73,1780899050.355710030,39.880162477,26.730540,7.870583,17,77,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,13,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1191,74,1780899050.392768860,39.917221308,26.745682,8.018638,17,78,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,14,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1192,75,1780899050.424583197,39.949035645,26.595597,8.124820,16,76,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,15,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1193,76,1780899050.460457087,39.984909534,26.892756,8.125011,17,78,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,16,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1194,77,1780899050.492415190,40.016867638,26.682259,8.203415,16,77,1,0,0,0,,,,,,308,-12,NONE,STRAIGHT,17,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1195,78,1780899050.524332762,40.048785210,26.794006,8.314087,16,76,2,0,0,0,,,,,,308,-12,NONE,STRAIGHT,18,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1196,79,1780899050.560432911,40.084885359,27.106321,8.390133,18,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,19,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1197,80,1780899050.591747761,40.116200209,27.233040,8.500387,17,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,20,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1198,81,1780899050.624491930,40.148944378,27.180014,8.717987,16,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,21,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1199,82,1780899050.660998583,40.185451031,27.140440,8.843392,18,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,22,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1200,83,1780899050.691807032,40.216259480,27.464957,8.998386,17,80,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,23,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1201,84,1780899050.728313446,40.252765894,27.550256,9.068901,17,79,6,0,0,0,,,,,,308,-12,NONE,STRAIGHT,24,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1202,85,1780899050.760976315,40.285428762,27.542386,9.078638,17,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,25,0,,mode_NONE;hough_0
lap1_problem_section_v0,37.440000,43.640000,1203,86,1780899050.791838169,40.316290617,27.617770,9.118163,16,79,0,0,0,0,,,,,,308,-12,NONE,STRAIGHT,26,0,,mode_NONE;hough_0
