segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,418,0,1780899024.486595154,14.011047602,112.155000,51.664753,16,236,977,9,2,5,-0.933333333,0.462427746,28,574,546,301,-19,BOTH,BOTH,STRAIGHT,0,19,,0,0,0,0,90,,,,,,,,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,419,1,1780899024.516566038,14.041018486,112.043111,51.414695,16,235,1057,11,3,3,-0.972972973,0.440000000,27,576,549,301,-19,BOTH,BOTH,STRAIGHT,0,0,3,0,0,0,0,90,,,,,,28,574,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,420,2,1780899024.549727201,14.074179649,112.106903,51.389151,16,236,1140,12,2,6,-0.937500000,0.437500000,25,599,574,312,-8,BOTH,BOTH,STRAIGHT,0,11,25,0,0,0,0,90,,,,,,27,576,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,421,3,1780899024.587260485,14.111712933,112.376790,51.733260,16,236,1140,12,2,8,-0.966666667,0.461538462,26,571,545,298,-22,BOTH,BOTH,STRAIGHT,0,14,29,0,0,0,0,90,,,,,,25,599,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,422,4,1780899024.615929842,14.140382290,112.578892,52.161138,16,236,1238,9,2,6,-0.971830986,0.424242424,26,599,573,312,-8,BOTH,BOTH,STRAIGHT,0,14,28,0,0,0,0,90,,,,,,26,571,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,423,5,1780899024.655637503,14.180089951,112.779616,52.381868,16,235,1176,12,3,7,-0.903225806,0.438356164,25,597,572,311,-9,BOTH,BOTH,STRAIGHT,0,1,1,0,0,0,0,90,,,,,,26,599,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,424,6,1780899024.686266184,14.210718632,113.117599,52.569435,16,236,1110,7,2,5,-0.903225806,0.477611940,25,568,543,296,-24,BOTH,BOTH,STRAIGHT,0,15,29,0,0,0,0,90,,,,,,25,597,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,425,7,1780899024.717600346,14.242052794,113.516875,52.627066,16,235,1089,7,2,5,-0.931034483,0.483870968,26,566,540,296,-24,BOTH,BOTH,STRAIGHT,0,0,3,0,0,0,0,90,,,,,,25,568,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,426,8,1780899024.754693985,14.279146433,113.991420,52.723702,16,236,984,7,2,5,-0.926829268,0.483870968,25,567,542,296,-24,BOTH,BOTH,STRAIGHT,0,0,2,0,0,0,0,90,,,,,,26,566,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,427,9,1780899024.785379648,14.309832096,114.728026,53.104132,16,236,1017,7,3,4,-0.909090909,0.460526316,25,592,567,308,-12,BOTH,BOTH,STRAIGHT,0,12,25,0,0,0,0,90,,,,,,25,567,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,428,10,1780899024.817679405,14.342131853,115.499276,53.055537,16,236,926,7,3,4,-0.907894737,0.446428571,26,595,569,310,-10,BOTH,BOTH,STRAIGHT,0,2,2,0,0,0,0,90,,,,,,25,592,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,429,11,1780899024.854020834,14.378473282,115.718366,53.074211,16,236,872,7,2,5,-0.898876404,0.489795918,27,565,538,296,-24,BOTH,BOTH,STRAIGHT,0,14,31,0,0,0,0,90,,,,,,26,595,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,430,12,1780899024.885658979,14.410111427,116.038935,53.155585,16,235,822,6,3,3,-0.900000000,0.505434783,29,563,534,296,-24,BOTH,BOTH,STRAIGHT,0,0,4,0,0,0,0,90,,,,,,27,565,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,431,13,1780899024.923285007,14.447737455,116.306278,53.232002,16,236,827,8,4,4,-0.897727273,0.467625899,30,592,562,311,-9,BOTH,BOTH,STRAIGHT,0,15,28,0,0,0,0,90,,,,,,29,563,FULL_BASELINE,
