segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap2_problem_section_v2,104.000000,115.000000,3103,0,1780899114.476508617,104.000961065,125.301491,57.548611,19,235,748,7,2,5,-0.814814815,0.650943396,41,551,510,296,-24,BOTH,BOTH,STRAIGHT,0,24,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,,,,,,,FULL_NO_LAST_GOOD,
lap2_problem_section_v2,104.000000,115.000000,3104,1,1780899114.507432938,104.031885386,125.463807,57.619766,16,236,490,5,2,3,-0.839506173,0.650602410,45,551,506,298,-22,BOTH,BOTH,STRAIGHT,0,2,4,1,1,1,1,90,success,1,1,0,success,0,131,461,640,41,551,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3105,2,1780899114.544567347,104.069019794,126.428139,58.208793,16,235,505,6,3,3,-0.815217391,0.650602410,46,550,504,298,-22,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,0,135,461,640,45,551,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3106,3,1780899114.576038122,104.100490570,126.696335,58.692051,16,235,509,10,4,6,-0.808988764,0.626373626,48,548,500,298,-22,BOTH,BOTH,STRAIGHT,0,0,4,1,1,1,1,90,success,1,1,0,success,0,136,460,640,46,550,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3107,4,1780899114.608088017,104.132540464,126.704332,58.942989,16,235,513,6,3,3,-0.810526316,0.628865979,48,547,499,297,-23,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,138,458,638,48,548,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3108,5,1780899114.643912315,104.168364763,126.472841,59.079107,20,235,489,8,4,4,-0.810000000,0.648351648,49,546,497,297,-23,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,0,138,457,637,48,547,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3109,6,1780899114.675987959,104.200440407,126.177088,59.214033,16,236,491,7,3,4,-0.840000000,0.648648649,49,546,497,297,-23,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,139,456,636,49,546,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3110,7,1780899114.713144541,104.237596989,125.660256,59.409371,16,236,494,8,4,4,-0.810526316,0.630252101,51,546,495,298,-22,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,139,456,636,49,546,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3111,8,1780899114.745886803,104.270339251,124.968423,59.335133,16,235,493,7,3,4,-0.809090909,0.656250000,52,546,494,299,-21,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,141,456,636,51,546,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3112,9,1780899114.777073383,104.301525831,124.344986,59.328957,16,235,493,8,4,4,-0.810810811,0.650000000,52,549,497,300,-20,BOTH,BOTH,STRAIGHT,0,1,3,1,1,1,1,90,success,1,1,0,success,0,142,456,636,52,546,LOCAL,v2_local_first_used;v2_local_accept
lap2_problem_section_v2,104.000000,115.000000,3113,10,1780899114.813230276,104.337682724,123.635469,59.202670,16,235,493,5,2,3,-0.809523810,0.649681529,53,551,498,302,-18,BOTH,BOTH,STRAIGHT,0,2,1,1,1,1,1,90,success,1,1,0,success,0,142,459,639,52,549,LOCAL,v2_local_first_used;v2_local_accept
