segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,v3_full_recheck_used,v3_mismatch,v3_tentative_count,v3_full_recheck_accept,v3_decision,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap2_problem_section_v3_fixed,105.440000,111.640000,3146,0,1780899115.918930769,105.443383217,100.522543,65.397084,16,235,722,6,2,4,-0.785046729,0.722222222,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,2,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,0,0,0,0,no_last_good_use_full,,,,,,,FULL_NO_LAST_GOOD,
lap2_problem_section_v3_fixed,105.440000,111.640000,3147,1,1780899115.953891039,105.478343487,99.827017,65.644814,16,236,756,8,3,5,-0.808988764,0.706766917,66,579,513,322,2,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,156,489,640,66,579,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3148,2,1780899115.986154795,105.510607243,98.707912,65.640939,16,236,758,12,6,6,-0.789473684,0.720720721,66,580,514,323,3,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,156,489,640,66,579,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3149,3,1780899116.017976999,105.542429447,97.460568,65.507324,16,236,840,12,5,7,-0.786324786,0.744186047,66,580,514,323,3,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,156,490,640,66,580,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3150,4,1780899116.052480698,105.576933146,96.034517,65.175543,16,236,868,12,5,7,-0.782258065,0.727272727,65,579,514,322,2,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,156,490,640,66,580,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3151,5,1780899116.085083008,105.609535456,94.428764,64.574778,16,236,905,17,7,10,-0.782945736,0.753086420,65,579,514,322,2,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,155,489,640,65,579,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3152,6,1780899116.121573925,105.646026373,92.481165,63.824269,16,236,919,16,7,9,-0.786885246,0.681318681,63,581,518,322,2,BOTH,BOTH,STRAIGHT,0,0,4,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,155,489,640,65,579,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3153,7,1780899116.152004957,105.676457405,90.491420,63.071476,16,236,959,21,10,11,-0.803030303,0.677083333,63,581,518,322,2,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,153,491,640,63,581,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3154,8,1780899116.183911800,105.708364248,88.583196,62.435776,16,235,1016,17,9,8,-0.784313725,0.699115044,62,580,518,321,1,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,153,491,640,63,581,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3155,9,1780899116.223921537,105.748373985,86.517543,61.536038,16,236,1064,19,10,9,-0.786324786,0.747126437,63,580,517,321,1,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,152,490,640,62,580,LOCAL,v3_local_first_used;v3_local_accept
lap2_problem_section_v3_fixed,105.440000,111.640000,3156,10,1780899116.252811193,105.777263641,84.380739,60.520379,16,236,1116,19,9,10,-0.804878049,0.725274725,63,581,518,322,2,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_stable_both,0,153,490,640,63,580,LOCAL,v3_local_first_used;v3_local_accept
