segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,v3_full_recheck_used,v3_mismatch,v3_tentative_count,v3_full_recheck_accept,v3_decision,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v3,14.000000,80.000000,418,0,1780899024.486595154,14.011047602,112.155000,51.664753,16,236,977,9,2,5,-0.933333333,0.462427746,28,574,546,301,-19,BOTH,BOTH,STRAIGHT,0,19,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,0,0,0,0,no_last_good_use_full,,,,,,,FULL_NO_LAST_GOOD,
lap1_problem_section_v3,14.000000,80.000000,419,1,1780899024.516566038,14.041018486,112.043111,51.414695,16,235,912,17,4,13,-1.037037037,0.466666667,28,573,545,300,-20,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,118,484,640,28,574,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,420,2,1780899024.549727201,14.074179649,112.106903,51.389151,16,236,980,19,3,16,-0.969696970,0.468468468,26,572,546,299,-21,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,118,483,640,28,573,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,421,3,1780899024.587260485,14.111712933,112.376790,51.733260,16,236,1021,17,3,14,-1.000000000,0.469230769,26,571,545,298,-22,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,482,640,26,572,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,422,4,1780899024.615929842,14.140382290,112.578892,52.161138,16,236,1099,23,4,19,-0.951219512,0.487804878,26,569,543,297,-23,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,481,640,26,571,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,423,5,1780899024.655637503,14.180089951,112.779616,52.381868,16,235,1151,21,2,19,-0.932432432,0.485714286,26,569,543,297,-23,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,479,640,26,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,424,6,1780899024.686266184,14.210718632,113.117599,52.569435,16,236,1046,19,4,15,-0.936708861,0.484076433,26,568,542,297,-23,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,479,640,26,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,425,7,1780899024.717600346,14.242052794,113.516875,52.627066,16,235,976,16,4,12,-0.934210526,0.487012987,26,569,543,297,-23,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,478,640,26,568,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,426,8,1780899024.754693985,14.279146433,113.991420,52.723702,16,236,907,15,5,10,-0.894736842,0.486956522,26,569,543,297,-23,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,479,640,26,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,427,9,1780899024.785379648,14.309832096,114.728026,53.104132,16,236,927,12,4,8,-0.933333333,0.505747126,26,567,541,296,-24,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,479,640,26,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,428,10,1780899024.817679405,14.342131853,115.499276,53.055537,16,236,850,11,5,6,-0.902439024,0.488721805,27,565,538,296,-24,BOTH,BOTH,STRAIGHT,0,0,3,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,477,640,26,567,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,429,11,1780899024.854020834,14.378473282,115.718366,53.074211,16,236,843,8,4,4,-0.934426230,0.504854369,27,565,538,296,-24,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,117,475,640,27,565,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,430,12,1780899024.885658979,14.410111427,116.038935,53.155585,16,235,809,7,4,3,-0.884615385,0.509316770,28,564,536,296,-24,BOTH,BOTH,STRAIGHT,0,0,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,117,475,640,27,565,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,431,13,1780899024.923285007,14.447737455,116.306278,53.232002,16,236,805,9,5,4,-0.903846154,0.509202454,29,564,535,296,-24,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,118,474,640,28,564,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,432,14,1780899024.954689026,14.479141474,116.383565,53.210045,16,235,817,8,4,4,-0.870588235,0.509202454,30,564,534,297,-23,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,119,474,640,29,564,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,433,15,1780899024.985708237,14.510160685,116.140980,53.139147,16,236,825,11,6,5,-0.896103896,0.508771930,31,564,533,297,-23,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,120,474,640,30,564,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,434,16,1780899025.021608114,14.546060562,115.898366,53.046494,16,236,838,8,4,4,-0.954545455,0.521739130,31,566,535,298,-22,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,121,474,640,31,564,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,435,17,1780899025.054200172,14.578652620,116.172557,53.009513,16,235,845,12,7,5,-0.916666667,0.512500000,32,566,534,299,-21,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,121,476,640,31,566,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,436,18,1780899025.087039471,14.611491919,116.571435,53.084280,16,236,867,10,5,5,-0.875000000,0.527950311,34,567,533,300,-20,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,122,476,640,32,566,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,437,19,1780899025.122685671,14.647138119,116.850511,53.064129,16,236,877,8,5,3,-0.872727273,0.527950311,36,568,532,302,-18,BOTH,BOTH,STRAIGHT,0,2,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,124,477,640,34,567,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,438,20,1780899025.154124737,14.678577185,117.069787,52.921754,16,236,905,10,6,4,-0.870967742,0.531250000,39,569,530,304,-16,BOTH,BOTH,STRAIGHT,0,2,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,126,478,640,36,568,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,439,21,1780899025.191286325,14.715738773,117.122756,52.576128,16,236,883,12,6,6,-0.847222222,0.549180328,40,570,530,305,-15,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,129,479,640,39,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,440,22,1780899025.224868059,14.749320507,117.155724,52.198086,16,236,895,11,8,3,-0.870370370,0.548387097,40,570,530,305,-15,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,130,480,640,40,570,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,441,23,1780899025.254300356,14.778752804,117.286449,51.886199,16,235,906,10,6,4,-0.814285714,0.550632911,40,569,529,304,-16,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,130,480,640,40,570,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,442,24,1780899025.290753603,14.815206051,117.533082,51.759366,16,235,834,11,6,5,-0.843137255,0.556701031,38,568,530,303,-17,BOTH,BOTH,STRAIGHT,0,1,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,130,479,640,40,569,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,443,25,1780899025.321560383,14.846012831,117.575994,51.710606,16,236,792,10,4,6,-0.850000000,0.559523810,35,565,530,300,-20,BOTH,BOTH,STRAIGHT,0,3,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,128,478,640,38,568,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,444,26,1780899025.359040737,14.883493185,117.903849,51.834155,19,235,759,8,4,4,-0.843137255,0.573333333,33,562,529,297,-23,BOTH,BOTH,STRAIGHT,0,3,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,125,475,640,35,565,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,445,27,1780899025.389338493,14.913790941,118.373949,51.919121,16,235,751,9,3,6,-0.842105263,0.577586207,32,561,529,296,-24,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,123,472,640,33,562,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,446,28,1780899025.422024727,14.946477175,118.779602,52.150492,16,235,730,9,2,7,-0.843750000,0.552631579,30,561,531,295,-25,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,122,471,640,32,561,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,447,29,1780899025.458657742,14.983110189,119.034119,52.368426,16,235,679,8,1,7,-0.846153846,0.577586207,29,560,531,294,-26,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,120,471,640,30,561,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,448,30,1780899025.490075827,15.014528275,119.703438,52.642216,26,235,675,8,3,5,-0.860759494,0.580000000,28,556,528,292,-28,BOTH,BOTH,STRAIGHT,0,2,3,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,119,470,640,29,560,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,449,31,1780899025.522577524,15.047029972,120.354332,52.871270,19,235,696,7,2,5,-0.836956522,0.598425197,26,553,527,289,-31,BOTH,BOTH,STRAIGHT,0,3,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,118,466,640,28,556,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,450,32,1780899025.559649229,15.084101677,120.833920,53.104636,16,235,547,8,3,5,-0.807692308,0.576642336,26,552,526,289,-31,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,463,640,26,553,LOCAL,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,14.000000,80.000000,451,33,1780899025.589991093,15.114443541,121.285313,53.137125,16,235,719,9,3,6,-0.840425532,0.578947368,28,552,524,290,-30,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local_no_valid_full,0,116,462,640,26,552,LOCAL,v3_local_first_used;v3_local_accept
