frame_idx,processed_idx,timestamp,rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
0,0,1780899010.475547552,0.000000,137.614673,47.965601,34,235,524,6,4,2,-0.510204082,0.836956522,51,600,549,325,5,BOTH,STRAIGHT,0,5,,
1,1,1780899010.510176420,0.034629,137.502472,48.034081,16,235,476,5,3,2,-0.586206897,0.840000000,60,600,540,330,10,BOTH,STRAIGHT,0,5,9,
2,2,1780899010.541003466,0.065456,137.527656,48.016626,19,235,519,6,4,2,-0.527777778,0.854545455,54,599,545,326,6,BOTH,STRAIGHT,0,4,5,
3,3,1780899010.573039055,0.097492,137.556364,47.998603,22,235,474,5,3,2,-0.583333333,0.854545455,60,599,539,329,9,BOTH,STRAIGHT,0,3,6,
4,4,1780899010.607686520,0.132139,137.570639,47.980891,33,235,526,6,4,2,-0.590909091,0.854545455,61,599,538,330,10,BOTH,STRAIGHT,0,1,1,
5,5,1780899010.640454769,0.164907,137.600227,47.963956,19,235,475,5,3,2,-0.530303030,0.836734694,55,600,545,327,7,BOTH,STRAIGHT,0,3,7,
6,6,1780899010.672094584,0.196547,137.563963,47.979093,34,235,520,5,3,2,-0.508771930,0.857142857,51,598,547,324,4,BOTH,STRAIGHT,0,3,2,
7,7,1780899010.707976580,0.232429,137.625298,47.929844,19,235,477,6,4,2,-0.592592593,0.857142857,60,599,539,329,9,BOTH,STRAIGHT,0,5,8,
8,8,1780899010.739947796,0.264400,137.590739,47.948511,16,235,478,6,3,3,-0.600000000,0.841269841,60,599,539,329,9,BOTH,STRAIGHT,0,0,0,
9,9,1780899010.778089762,0.302542,137.581293,47.949136,16,235,519,6,3,3,-0.508771930,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,4,10,
10,10,1780899010.808962584,0.333415,137.651080,47.891714,21,235,480,6,4,2,-0.557142857,0.864864865,57,598,541,327,7,BOTH,STRAIGHT,0,2,8,
11,11,1780899010.840103149,0.364556,137.600014,47.910728,19,235,478,6,3,3,-0.578313253,0.838235294,60,600,540,330,10,BOTH,STRAIGHT,0,3,1,
12,12,1780899010.877126217,0.401579,137.575767,47.925786,22,235,520,5,3,2,-0.533333333,0.837837838,54,600,546,327,7,BOTH,STRAIGHT,0,3,6,
13,13,1780899010.907803535,0.432256,137.663509,47.878345,17,235,514,7,5,2,-0.625000000,0.864864865,63,598,535,330,10,BOTH,STRAIGHT,0,3,11,
14,14,1780899010.940428019,0.464880,137.640881,47.869084,19,236,475,7,4,3,-0.600000000,0.839285714,60,599,539,329,9,BOTH,STRAIGHT,0,1,4,
15,15,1780899010.976072550,0.500525,137.641207,47.865204,16,235,521,6,4,2,-0.550000000,0.834951456,58,600,542,329,9,BOTH,STRAIGHT,0,0,3,
16,16,1780899011.007823944,0.532276,137.616420,47.877177,30,235,479,6,3,3,-0.532258065,0.839285714,54,599,545,326,6,BOTH,STRAIGHT,0,3,3,
17,17,1780899011.044585705,0.569038,137.609531,47.877188,16,235,522,6,3,3,-0.555555556,0.840000000,59,600,541,329,9,BOTH,STRAIGHT,0,3,4,
18,18,1780899011.078757763,0.603210,137.628750,47.857994,16,235,474,5,3,2,-0.509803922,0.836734694,51,600,549,325,5,BOTH,STRAIGHT,0,4,8,
19,19,1780899011.114428043,0.638880,137.631435,47.852572,16,235,478,6,3,3,-0.583333333,0.843137255,59,599,540,329,9,BOTH,STRAIGHT,0,4,9,
20,20,1780899011.148208618,0.672661,137.683864,47.821603,16,235,519,5,3,2,-0.592592593,0.836956522,61,600,539,330,10,BOTH,STRAIGHT,0,1,1,
21,21,1780899011.179357529,0.703810,137.620014,47.847227,16,235,519,5,3,2,-0.509433962,0.836734694,52,600,548,326,6,BOTH,STRAIGHT,0,4,9,
22,22,1780899011.210291862,0.734744,137.596009,47.861927,20,235,520,5,3,2,-0.571428571,0.839080460,60,600,540,330,10,BOTH,STRAIGHT,0,4,8,
23,23,1780899011.245251894,0.769704,137.620085,47.850663,16,235,524,5,3,2,-0.554216867,0.868421053,58,598,540,328,8,BOTH,STRAIGHT,0,2,0,
24,24,1780899011.279448509,0.803901,137.618878,47.848068,16,235,478,5,3,2,-0.533333333,0.840000000,54,599,545,326,6,BOTH,STRAIGHT,0,2,5,
25,25,1780899011.316805124,0.841258,137.618906,47.851932,16,235,520,5,3,2,-0.600000000,0.834951456,61,600,539,330,10,BOTH,STRAIGHT,0,4,6,
26,26,1780899011.346085310,0.870538,137.706122,47.800913,16,235,528,5,3,2,-0.625000000,0.868421053,62,598,536,330,10,BOTH,STRAIGHT,0,0,3,
27,27,1780899011.382142782,0.906595,137.693153,47.820082,31,235,477,6,4,2,-0.600000000,0.854545455,60,599,539,329,9,BOTH,STRAIGHT,0,1,3,
28,28,1780899011.415303230,0.939756,137.615312,47.878870,28,235,526,5,3,2,-0.532258065,0.857142857,55,599,544,327,7,BOTH,STRAIGHT,0,2,5,
29,29,1780899011.447246075,0.971699,137.670866,47.847711,22,235,526,6,3,3,-0.533333333,0.840000000,54,600,546,327,7,BOTH,STRAIGHT,0,0,2,
30,30,1780899011.483851910,1.008304,137.624503,47.886334,24,235,522,6,3,3,-0.540000000,0.837837838,55,600,545,327,7,BOTH,STRAIGHT,0,0,1,
31,31,1780899011.515626907,1.040079,137.621634,47.892045,16,235,522,6,4,2,-0.529411765,0.836956522,53,600,547,326,6,BOTH,STRAIGHT,0,1,2,
32,32,1780899011.546669960,1.071122,137.617500,47.904250,22,235,527,5,3,2,-0.532258065,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,1,1,
33,33,1780899011.580502510,1.104955,137.696335,47.849703,36,235,479,6,3,3,-0.512195122,0.840000000,51,600,549,325,5,BOTH,STRAIGHT,0,2,3,
34,34,1780899011.613228798,1.137681,137.681037,47.881957,32,235,477,5,3,2,-0.600000000,0.843137255,62,599,537,330,10,BOTH,STRAIGHT,0,5,12,
35,35,1780899011.644019842,1.168472,137.616832,47.925808,33,235,527,5,3,2,-0.533333333,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,3,9,
36,36,1780899011.681120634,1.205573,137.592187,47.952148,22,235,521,6,3,3,-0.542857143,0.843137255,55,599,544,327,7,BOTH,STRAIGHT,0,0,2,
37,37,1780899011.712993622,1.237446,137.526577,47.989285,16,235,525,5,3,2,-0.576923077,0.863636364,59,598,539,328,8,BOTH,STRAIGHT,0,1,5,
38,38,1780899011.748671055,1.273124,137.566903,47.967908,16,235,521,6,4,2,-0.508771930,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,3,10,
39,39,1780899011.783964872,1.308417,137.543665,47.985345,24,235,476,5,3,2,-0.516129032,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,0,0,
40,40,1780899011.814458132,1.338911,137.470469,48.040819,16,235,478,5,3,2,-0.533333333,0.839080460,55,600,545,327,7,BOTH,STRAIGHT,0,2,4,
41,41,1780899011.855104446,1.379557,137.453480,48.046882,37,235,522,6,3,3,-0.538461538,0.850000000,55,600,545,327,7,BOTH,STRAIGHT,0,0,0,
42,42,1780899011.882068396,1.406521,137.431264,48.057327,16,235,479,8,5,3,-0.512820513,0.839285714,52,599,547,325,5,BOTH,STRAIGHT,0,2,2,
43,43,1780899011.912972450,1.437425,137.517060,48.012677,19,235,476,6,4,2,-0.565217391,0.854545455,59,599,540,329,9,BOTH,STRAIGHT,0,4,7,
44,44,1780899011.949123144,1.473576,137.482386,48.027717,19,235,522,6,4,2,-0.488372093,0.818181818,47,601,554,324,4,BOTH,STRAIGHT,0,5,14,
45,45,1780899011.983625412,1.508078,137.443807,48.045566,29,235,522,6,4,2,-0.508771930,0.837837838,51,600,549,325,5,BOTH,STRAIGHT,0,1,5,
46,46,1780899012.016314268,1.540767,137.526293,47.997633,28,235,476,6,4,2,-0.598130841,0.836734694,63,600,537,331,11,BOTH,STRAIGHT,0,6,12,
47,47,1780899012.049432278,1.573885,137.480682,48.023145,17,235,478,6,3,3,-0.592592593,0.839285714,60,599,539,329,9,BOTH,STRAIGHT,0,2,2,
